no_of_samples,enb_rssi,ue_rssi,enb_rsrp,ue_rsrp,enb_pwr,ue_pwr
,-45,-55,-72,-69,-19.7706,-20.381769
,-45,-55,-74,-69,-19.9959,-20.541669
,-45,-55,-69,-69,-20.135,-20.351869
,-46,-55,-69,-69,-20.0597,-20.196569
,-46,-55,-68,-69,-19.7616,-20.267269
,-47,-55,-70,-69,-19.7838,-20.47469
,-49,-55,-71,-69,-19.8883,-20.499869
,-45,-55,-71,-69,-19.8428,-20.43769
,-47,-55,-73,-69,-19.9255,-20.485869
,-44,-55,-67,-69,-19.2573,-20.506869
,-45,-55,-68,-69,-19.6357,-20.45269
,-45,-55,-68,-69,-19.7827,-20.452369
,-46,-55,-69,-69,-19.9576,-20.552369
,-48,-55,-70,-69,-19.8481,-20.588469
,-49,-55,-71,-69,-19.6261,-20.583569
,-46,-55,-72,-69,-19.6731,-20.607469
,-45,-55,-68,-69,-19.5578,-20.531269
,-45,-55,-69,-69,-19.9476,-20.498469
,-45,-55,-69,-69,-20.0033,-20.557369
,-46,-55,-69,-69,-20.107,-20.612469
,-47,-55,-69,-69,-19.9336,-20.325169
,-48,-55,-70,-69,-19.8367,-20.400869
,-46,-55,-71,-69,-19.5215,-20.288369
,-45,-55,-71,-69,-19.4098,-21.026869
,-44,-55,-67,-69,-19.1535,-20.413669
,-44,-55,-68,-69,-19.4502,-20.436269
,-45,-55,-68,-69,-19.7491,-20.42469
,-46,-55,-69,-69,-19.6474,-20.431269
,-47,-55,-70,-69,-19.8117,-20.40369
,-47,-55,-71,-69,-19.7229,-20.418869
,-46,-55,-72,-69,-19.6244,-20.288169
,-45,-55,-69,-69,-19.6843,-20.292669
,-44,-55,-68,-69,-19.2568,-20.247769
,-45,-55,-68,-69,-19.641,-20.396869
,-45,-55,-68,-69,-19.5607,-20.388569
,-45,-55,-68,-69,-19.4475,-19.964869
,-48,-55,-70,-69,-19.8775,-20.387969
,-47,-55,-72,-69,-19.6422,-20.330869
,-46,-55,-71,-69,-19.3025,-20.23769
,-45,-55,-68,-69,-19.4287,-20.372769
,-44,-55,-68,-69,-19.4983,-20.304169
,-45,-55,-68,-69,-19.7938,-20.314469
,-45,-55,-68,-69,-19.4172,-20.21669
,-47,-55,-70,-69,-20.0233,-20.277969
,-49,-55,-72,-69,-20.8346,-20.430269
,-47,-55,-72,-70,-20.37,-20.08637
,-49,-55,-76,-69,-21.3728,-20.379469
,-46,-55,-71,-69,-21.1751,-20.009569
,-46,-55,-70,-70,-21.0116,-20.12527
