no_of_samples,enb_rssi,ue_rssi,enb_rsrp,ue_rsrp,enb_pwr,ue_pwr
,-40,-53,-69,-67,-12.6097,-22.648467
,-51,-58,-81,-72,-27.2638,-17.835772
,-41,-53,-68,-66,-16.2385,-24.340766
,-39,-49,-62,-62,-14.2371,-26.171262
,-40,-47,-61,-60,-15.0955,-27.62366
,-39,-52,-59,-64,-13.1114,-24.934364
,-41,-56,-68,-69,-14.8897,-20.150569
,-46,-54,-72,-67,-19.0979,-21.587467
,-42,-53,-65,-68,-14.9281,-23.099568
,-49,-53,-69,-68,-19.7961,-22.802668
,-46,-53,-71,-67,-19.774,-22.122367
,-48,-55,-74,-69,-22.5579,-18.739869
,-47,-56,-71,-70,-23.2605,-20.30397
,-47,-57,-79,-72,-23.3672,-20.632672
,-49,-58,-71,-72,-25.3203,-19.355472
,-51,-53,-84,-67,-28.1325,-21.67167
,-47,-56,-70,-71,-20.7268,-21.414171
,-47,-55,-72,-69,-21.999,-18.463469
,-43,-54,-62,-68,-18.6341,-20.259168
,-44,-58,-69,-75,-19.3448,-16.309575
,-43,-58,-68,-73,-17.8554,-16.808173
,-42,-58,-64,-73,-16.0635,-18.359473
,-45,-58,-69,-74,-18.6577,-14.110874
,-48,-58,-79,-74,-21.6026,-17.267474
,-48,-59,-78,-75,-21.9473,-16.453675
,-46,-59,-66,-75,-19.9439,-17.063575
,-48,-59,-75,-73,-22.3399,-19.088573
,-53,-57,-82,-72,-32.3826,-17.799672
,-41,-58,-65,-74,-17.0025,-17.728574
,-41,-55,-61,-70,-14.814,-19.71597
,-50,-55,-78,-68,-26.5824,-20.801568
,-49,-55,-75,-68,-21.9677,-22.185168
,-44,-55,-68,-70,-18.1191,-20.69817
,-40,-53,-60,-67,-15.1464,-22.129467
,-44,-55,-68,-69,-19.4168,-19.526769
,-46,-53,-65,-67,-21.4017,-19.845167
,-44,-55,-71,-68,-19.2965,-19.494768
,-42,-53,-66,-67,-15.9195,-22.877367
,-47,-54,-78,-67,-20.3413,-23.575267
,-48,-55,-75,-69,-22.59,-21.021269
,-43,-53,-70,-66,-18.5831,-22.510766
,-39,-54,-62,-68,-13.9269,-17.634768
,-41,-51,-59,-64,-15.8912,-24.594364
,-34,-52,-56,-66,-8.91058,-23.27766
,-39,-52,-60,-65,-12.3787,-24.393465
,-37,-53,-64,-66,-9.77264,-21.259366
,-42,-53,-63,-67,-14.2237,-20.213467
,-44,-51,-68,-64,-16.9057,-24.929264
,-37,-55,-60,-68,-11.3412,-21.770968
,-50,-57,-75,-73,-27.2314,-13.950973
,-45,-53,-70,-67,-21.0819,-22.853367
,-45,-57,-69,-70,-19.6148,-20.61577
,-46,-57,-75,-70,-19.9212,-18.50747
,-44,-59,-67,-74,-18.1065,-16.583774
,-49,-58,-77,-73,-23.9357,-19.312373
,-52,-57,-81,-70,-30.9953,-19.87317
,-52,-55,-82,-69,-32.4153,-17.556169
,-47,-57,-82,-71,-26.2336,-22.794371
,-40,-54,-58,-67,-14.7144,-24.843167
,-43,-55,-67,-68,-17.4908,-22.5768
,-51,-56,-81,-70,-28.213,-17.85827
,-50,-54,-77,-67,-25.2708,-22.498367
,-52,-57,-82,-71,-29.4767,-19.549371
,-49,-53,-79,-66,-24.771,-24.494666
,-43,-55,-62,-68,-17.3998,-23.322568
,-46,-52,-71,-65,-21.7249,-24.759165
,-53,-56,-81,-70,-29.9476,-20.94077
,-52,-58,-81,-72,-30.5213,-16.710972
,-44,-53,-64,-66,-17.6359,-24.473266
,-52,-56,-73,-69,-27.5485,-21.259169
,-48,-60,-70,-75,-19.8311,-16.843475
,-43,-60,-64,-77,-19.4663,-12.788577
,-48,-59,-69,-74,-23.5761,-18.173174
,-42,-58,-71,-72,-18.5034,-19.151672
,-40,-56,-62,-69,-14.1737,-19.917969
,-40,-56,-62,-70,-13.0759,-20.87127
,-45,-55,-67,-69,-18.8202,-20.500369
,-45,-49,-73,-62,-18.7905,-26.339362
,-44,-53,-70,-66,-18.389,-21.186266
,-49,-52,-81,-65,-25.9735,-24.570965
,-44,-48,-71,-61,-18.4265,-27.140561
,-39,-53,-61,-66,-13.519,-22.40766
,-42,-50,-67,-63,-15.9569,-24.340863
,-42,-52,-68,-66,-15.2044,-23.034766
,-40,-55,-65,-68,-13.3532,-20.026168
,-42,-56,-64,-70,-14.1684,-19.77267
,-44,-55,-63,-70,-17.2718,-21.75367
,-44,-56,-67,-70,-16.3882,-20.6597
,-41,-55,-63,-69,-16.0239,-29.053969
,-41,-56,-63,-70,-15.894,-20.9277
,-46,-51,-78,-64,-23.0166,-25.174964
,-36,-55,-60,-68,-9.56659,-23.012368
,-45,-50,-73,-63,-17.8779,-25.058363
,-48,-52,-80,-65,-23.0944,-24.570565
,-37,-51,-62,-64,-11.9145,-24.835164
,-41,-55,-67,-69,-16.5157,-20.492569
,-38,-54,-61,-68,-13.1824,-21.274568
,-47,-54,-77,-67,-22.3964,-21.741467
,-46,-57,-76,-71,-20.236,-20.723371
,-46,-56,-78,-69,-20.2115,-20.529169
,-45,-59,-67,-73,-17.7534,-16.871173
,-45,-58,-68,-73,-17.7128,-16.739173
,-48,-59,-74,-74,-24.254,-17.374774
,-54,-56,-85,-70,-32.7949,-21.71157
,-48,-54,-79,-67,-26.1536,-22.081767
,-44,-54,-71,-67,-19.066,-22.18567
,-42,-57,-64,-71,-16.791,-15.578871
,-47,-56,-67,-69,-19.8463,-20.4969
,-48,-57,-74,-70,-22.2092,-18.80297
,-48,-58,-69,-72,-24.843,-19.374772
,-48,-58,-74,-74,-25.9319,-17.147474
,-47,-53,-74,-66,-23.2718,-23.604666
,-49,-50,-73,-63,-24.9592,-24.625863
,-50,-48,-79,-61,-25.783,-25.201361
,-45,-58,-69,-72,-19.4335,-19.160772
,-48,-57,-69,-71,-20.4763,-16.572271
,-44,-60,-61,-77,-17.9869,-15.164577
,-38,-58,-56,-72,-13.6735,-20.418972
,-47,-56,-71,-69,-22.1915,-22.361369
,-46,-56,-72,-70,-20.4874,-20.28457
,-46,-60,-73,-76,-19.6147,-16.382476
,-45,-59,-69,-74,-18.4728,-16.504774
,-50,-58,-79,-72,-25.9726,-17.353972
,-46,-59,-70,-73,-19.3099,-15.992973
,-45,-58,-62,-74,-16.8462,-18.261874
,-40,-59,-59,-75,-15.2099,-15.369275
,-48,-57,-75,-71,-23.7588,-19.333871
,-50,-60,-84,-74,-29.5162,-18.266474
,-52,-59,-82,-73,-30.3737,-19.62473
,-52,-59,-78,-74,-28.7002,-18.057674
,-47,-54,-68,-67,-20.1359,-24.624267
,-44,-53,-65,-66,-18.3051,-21.971666
,-42,-56,-63,-69,-16.0883,-19.733169
,-38,-56,-56,-70,-12.9223,-20.21517
,-52,-55,-84,-69,-31.4421,-21.076469
,-41,-56,-60,-69,-14.7987,-22.367369
,-48,-55,-71,-68,-21.3484,-21.481868
,-46,-55,-73,-69,-20.6322,-20.182469
,-44,-55,-65,-68,-17.8545,-22.546368
,-43,-53,-69,-66,-18.1074,-22.911766
,-45,-52,-70,-66,-20.5823,-25.018966
,-43,-47,-65,-60,-17.7331,-26.40736
,-47,-53,-72,-66,-22.711,-21.450666
,-49,-55,-76,-69,-23.7811,-18.900369
,-49,-56,-74,-69,-22.9348,-19.330469
,-50,-59,-78,-72,-26.4087,-19.392972
,-48,-57,-75,-70,-23.0928,-19.95027
,-51,-59,-80,-73,-29.1724,-18.213773
,-48,-58,-71,-73,-22.2566,-19.02673
,-44,-53,-66,-67,-19.551,-20.52567
,-48,-50,-75,-63,-24.8419,-26.363
,-44,-54,-62,-67,-16.8592,-21.862867
,-51,-55,-80,-69,-28.3468,-21.642469
,-46,-51,-74,-64,-22.6108,-22.448864
,-52,-50,-79,-63,-29.7991,-25.526763
,-54,-54,-87,-68,-33.1839,-25.519768
