no_of_samples,enb_rssi,ue_rssi,enb_rsrp,ue_rsrp,enb_pwr,ue_pwr
,-52,-54,-78,-69,-24.4005,-20.782469
,-51,-54,-75,-68,-24.3724,-20.863568
,-50,-54,-75,-68,-24.3927,-20.894468
,-49,-54,-75,-68,-24.5146,-20.951668
,-50,-54,-76,-68,-24.459,-20.860468
,-50,-54,-77,-69,-24.5362,-20.836769
,-50,-54,-78,-68,-24.4453,-20.91568
,-58,-53,-94,-68,-39.6205,-18.844668
,-54,-53,-81,-68,-28.0305,-21.00668
,-50,-53,-72,-68,-24.5371,-21.040168
,-50,-53,-74,-68,-24.5835,-21.01268
,-50,-53,-75,-68,-24.528,-20.978868
,-50,-53,-76,-68,-24.6399,-21.022868
,-52,-53,-78,-68,-24.7079,-21.01768
,-51,-53,-77,-68,-24.6719,-20.944568
,-50,-53,-76,-68,-24.8282,-21.095668
,-50,-53,-76,-68,-24.7866,-20.877168
,-50,-53,-76,-68,-24.8181,-20.919968
,-50,-53,-76,-68,-24.7686,-20.891368
,-50,-53,-76,-68,-24.5697,-20.914468
,-50,-54,-77,-68,-24.6041,-20.917768
,-50,-54,-78,-68,-24.5515,-20.887668
,-51,-54,-81,-68,-24.5439,-20.918368
,-53,-54,-79,-68,-24.5232,-20.935768
,-51,-54,-75,-68,-24.5589,-20.958368
,-49,-54,-75,-68,-24.5567,-20.952968
,-50,-54,-76,-68,-24.5276,-20.951668
,-50,-54,-77,-68,-24.6155,-20.944468
,-51,-54,-78,-68,-24.5753,-20.970268
,-51,-54,-79,-68,-24.4821,-20.982268
,-52,-54,-78,-68,-24.5621,-20.952568
,-52,-54,-75,-68,-24.6087,-20.95368
,-50,-54,-75,-68,-24.4993,-20.957568
,-49,-54,-75,-68,-24.5062,-20.920968
,-50,-54,-76,-68,-24.435,-20.902568
,-50,-54,-76,-68,-24.4732,-20.913568
,-50,-54,-78,-68,-24.5296,-20.946668
,-51,-54,-80,-68,-24.5317,-20.986768
,-52,-54,-79,-68,-24.3602,-20.974668
,-53,-54,-75,-68,-24.5743,-20.976568
,-50,-54,-75,-68,-24.5675,-20.973668
,-50,-54,-75,-68,-24.5906,-20.983968
,-50,-54,-76,-68,-24.6026,-20.979368
,-50,-54,-77,-68,-24.5957,-20.99168
,-50,-54,-78,-68,-24.5139,-20.997768
,-51,-54,-80,-68,-24.5424,-20.986868
,-52,-54,-80,-68,-24.5655,-20.964968
,-53,-54,-75,-68,-24.5543,-20.997768
,-54,-54,-75,-68,-24.5609,-21.014668
,-50,-54,-75,-68,-24.597,-20.994968
,-50,-54,-76,-68,-24.6117,-20.995568
,-50,-54,-77,-68,-24.7406,-20.965968
,-51,-54,-79,-68,-24.8553,-20.926668
,-51,-54,-79,-68,-24.8952,-20.921868
,-52,-54,-76,-68,-24.7377,-20.947268
,-51,-54,-75,-68,-24.7366,-20.945968
,-50,-54,-75,-68,-24.8321,-20.947568
,-50,-54,-76,-68,-24.7792,-20.957768
,-50,-54,-77,-68,-24.8075,-20.978568
,-51,-54,-78,-68,-24.7683,-20.993168
,-51,-54,-79,-68,-24.7203,-21.002168
,-52,-54,-79,-68,-24.8112,-20.950168
,-53,-54,-76,-68,-24.938,-20.951568
,-54,-54,-76,-68,-24.8462,-20.968268
,-50,-54,-75,-69,-24.8918,-20.82669
,-50,-54,-76,-69,-24.6676,-20.801969
,-50,-54,-77,-69,-25.1063,-20.815969
,-51,-54,-78,-69,-24.9132,-20.790869
,-51,-54,-79,-69,-24.6958,-20.769569
,-50,-54,-80,-69,-24.8528,-20.778269
,-52,-54,-76,-69,-24.7507,-20.803569
,-51,-54,-75,-69,-24.7323,-20.820869
,-50,-54,-75,-69,-24.7149,-20.830169
,-50,-54,-76,-69,-24.6784,-20.806869
,-50,-54,-77,-69,-24.8116,-20.789769
,-50,-54,-78,-69,-24.6113,-20.803569
,-52,-54,-80,-69,-24.5016,-20.817169
,-52,-54,-80,-69,-24.5648,-20.790669
,-53,-54,-75,-69,-24.5417,-20.792469
,-54,-54,-75,-69,-24.5905,-20.815169
,-50,-54,-75,-69,-24.5629,-20.825869
,-50,-54,-76,-69,-24.6955,-20.831369
,-50,-54,-77,-68,-24.7384,-20.932868
,-51,-54,-79,-68,-24.91,-20.989268
,-52,-54,-82,-68,-24.9789,-20.972868
,-53,-54,-82,-68,-24.8449,-20.975568
,-53,-54,-75,-68,-24.8489,-20.963368
,-50,-54,-75,-68,-24.6978,-20.924368
,-50,-54,-75,-68,-24.4068,-20.955568
,-53,-54,-80,-68,-27.8525,-22.261968
,-51,-54,-77,-68,-24.4301,-20.946368
,-47,-54,-78,-68,-24.4479,-21.026968
,-48,-54,-79,-68,-24.5251,-20.995568
,-52,-54,-76,-68,-24.5154,-20.557568
,-51,-54,-76,-68,-24.6939,-20.961868
,-52,-54,-75,-68,-24.6237,-20.937968
,-47,-54,-76,-68,-24.7229,-20.936668
,-50,-54,-77,-68,-24.7333,-20.924468
,-51,-54,-78,-68,-24.7359,-20.943868
,-51,-54,-80,-68,-24.621,-20.950168
,-50,-54,-79,-68,-24.5433,-20.93568
,-53,-54,-76,-68,-24.5983,-20.912668
,-50,-54,-75,-68,-24.5715,-20.933668
,-53,-54,-76,-68,-24.6453,-20.958868
,-50,-54,-76,-68,-24.5682,-20.941768
,-50,-54,-77,-68,-24.5773,-20.92568
,-50,-54,-78,-68,-24.5479,-20.489568
,-52,-54,-82,-68,-28.2088,-20.942668
,-52,-54,-75,-68,-24.5856,-20.98168
,-50,-54,-75,-68,-24.6388,-20.989668
,-50,-54,-75,-68,-24.4921,-20.975368
,-49,-54,-75,-68,-24.5792,-20.954668
,-50,-54,-76,-68,-24.5535,-20.948468
,-50,-54,-77,-68,-24.4566,-20.927768
,-51,-54,-78,-68,-24.5018,-20.962668
,-51,-54,-80,-68,-24.5431,-21.021868
,-52,-54,-80,-68,-24.6792,-21.019268
,-53,-54,-75,-68,-24.8043,-20.974468
,-50,-54,-76,-68,-24.8212,-20.910868
,-50,-54,-76,-68,-24.7197,-20.909468
,-50,-54,-76,-68,-24.7128,-20.900468
,-51,-54,-78,-68,-24.7325,-20.964168
,-51,-54,-79,-68,-24.6564,-20.961868
,-51,-54,-81,-68,-24.6541,-20.989668
,-52,-54,-81,-68,-24.6782,-20.966368
,-51,-54,-75,-68,-24.6924,-20.967968
,-50,-54,-75,-68,-24.6846,-20.930968
,-50,-54,-76,-68,-24.6804,-20.935568
,-50,-54,-77,-68,-24.7056,-20.938968
,-50,-54,-78,-68,-24.675,-20.964868
,-51,-54,-79,-68,-24.6323,-20.950968
,-52,-54,-80,-68,-24.6674,-20.936768
,-53,-54,-75,-68,-24.7022,-20.934668
,-52,-54,-75,-68,-24.7428,-20.949568
,-50,-54,-75,-68,-24.708,-20.962368
,-50,-54,-76,-68,-24.7236,-20.963368
,-50,-54,-77,-68,-24.7587,-20.882268
,-52,-54,-80,-69,-26.5578,-20.665269
,-52,-54,-84,-68,-26.0481,-21.03368
,-52,-53,-81,-68,-25.3625,-21.154968
,-53,-54,-75,-68,-24.5092,-20.380368
,-51,-54,-75,-69,-25.5536,-20.664469
,-50,-53,-77,-68,-25.2106,-21.186768
,-49,-53,-75,-68,-25.3349,-18.978968
,,-54,,-68,,-18.538868
