no_of_samples;enb_rssi;ue_rssi;enb_rsrp;ue_rsrp;enb_pwr;ue_pwr
1;-52;-55;-62;-68;-23.3549;-26.720568
2;-52;-55;-74;-68;-26.1061;-17.774168
3;-47;-55;-70;-68;-21.5839;-20.171668
4;-51;-56;-79;-69;-25.4874;-18.755269
5;-50;-56;-73;-69;-23.8886;-18.951869
6;-51;-56;-74;-69;-24.4185;-18.550369
7;-54;-55;-73;-68;-25.72;-22.812468
8;-52;-54;-77;-67;-28.2422;-19.567567
9;-50;-54;-76;-68;-25.5367;-20.739568
10;-53;-56;-78;-69;-29.118;-18.9169
11;-56;-54;-81;-67;-30.3921;-19.42567
12;-54;-55;-80;-68;-28.9728;-19.263168
13;-52;-55;-79;-68;-29.0104;-18.766668
14;-53;-55;-80;-68;-29.4505;-19.278368
15;-52;-56;-78;-69;-28.2777;-18.474369
16;-52;-55;-78;-68;-27.3985;-18.766168
17;-54;-55;-77;-68;-26.6233;-18.749368
18;-51;-55;-77;-68;-26.611;-18.715268
19;-51;-56;-78;-69;-27.6393;-18.451669
20;-50;-56;-77;-69;-26.5664;-18.453869
21;-51;-56;-77;-69;-27.0786;-18.321569
22;-53;-55;-78;-68;-27.2013;-19.156468
23;-55;-55;-78;-68;-27.2954;-19.13868
24;-51;-55;-78;-68;-27.3661;-19.196868
25;-58;-55;-94;-68;-43.389;-18.09768
26;-49;-57;-75;-70;-24.451;-17.6787
27;-49;-56;-73;-69;-22.418;-17.877369
28;-48;-56;-72;-69;-21.9153;-18.415869
29;-45;-55;-72;-68;-21.6749;-19.157368
30;-45;-55;-72;-68;-21.3734;-18.727968
31;-46;-55;-72;-68;-21.8495;-19.035968
32;-49;-57;-72;-70;-21.7783;-17.38527
33;-48;-57;-72;-70;-22.1097;-15.77287
34;-48;-56;-70;-70;-22.0311;-18.42057
35;-48;-56;-71;-69;-24.6839;-18.091469
36;-53;-56;-75;-69;-29.7809;-18.358569
37;-47;-55;-74;-68;-21.9838;-18.958368
38;-52;-55;-71;-68;-25.1121;-18.97168
39;-54;-55;-75;-68;-26.8183;-18.715368
40;-51;-54;-72;-67;-23.1036;-19.860167
41;-47;-55;-69;-68;-21.9729;-20.759768
42;-46;-54;-68;-67;-21.0598;-21.785467
43;-46;-53;-70;-67;-22.6061;-19.802867
44;-46;-56;-69;-69;-19.6725;-20.547569
45;-49;-56;-75;-69;-23.0478;-20.582969
